id,name,segment,industry,employee_count
COMP-113,Catalyst Partners,Mid-Market,Retail,1392
COMP-114,Catalyst Ventures,Enterprise,Healthcare,25104
COMP-115,Solstice Corp,Mid-Market,Energy,1322
COMP-116,Beacon Labs,Enterprise,Education,10216
COMP-117,Opal Software,Mid-Market,Technology,467
COMP-118,Vanguard Global,Enterprise,Education,2334
COMP-119,Crimson Software,Mid-Market,Healthcare,1898
COMP-120,Phoenix Dynamics,Mid-Market,Energy,1545
COMP-121,Aether Dynamics,Enterprise,Media,5061
COMP-122,Pulse Data,Mid-Market,Healthcare,1728
COMP-123,Nova Technologies,Mid-Market,Retail,1018
COMP-124,Prism Group,Mid-Market,Media,748
COMP-125,Helix Networks,Mid-Market,Technology,327
COMP-126,Ridge Digital,Enterprise,Energy,27095
COMP-127,Ridge Technologies,Mid-Market,Finance,502
COMP-128,Helix Data,Mid-Market,Finance,616
COMP-129,Marble Digital,Mid-Market,Finance,1470
COMP-130,Cascade Networks,Mid-Market,Media,506
COMP-131,Coral Data,Mid-Market,Manufacturing,1771
COMP-132,Cascade Labs,Mid-Market,Manufacturing,1012
COMP-133,Lumen Software,Mid-Market,Education,1161
COMP-134,Titan Software,Mid-Market,Energy,390
COMP-135,Summit Technologies,Mid-Market,Retail,234
COMP-136,Bedrock Analytics,Mid-Market,Manufacturing,1508
COMP-137,Sequoia Sciences,Mid-Market,Media,583
COMP-138,Falcon Solutions,Mid-Market,Technology,1278
COMP-139,Pulse Industries,Mid-Market,Retail,772
COMP-140,Synapse Global,Mid-Market,Retail,1293
COMP-141,Ember Group,Enterprise,Education,17089
COMP-142,Axiom Solutions,Mid-Market,Finance,775
COMP-143,Tempest Solutions,Enterprise,Education,9070
COMP-144,Tempest Technologies,Enterprise,Manufacturing,22773
COMP-145,Spectra Sciences,Mid-Market,Energy,1671
COMP-146,Obsidian Ventures,Mid-Market,Energy,1607
COMP-147,Granite Dynamics,Enterprise,Finance,23448
COMP-148,Ember Systems,Mid-Market,Manufacturing,1094
COMP-149,Beacon Data,Enterprise,Manufacturing,8621
COMP-150,Helix Global,Enterprise,Technology,23031
