id,name,segment,industry,employee_count
COMP-108,Cobalt Cloud,Mid-Market,Media,212
COMP-109,Obsidian Sciences,Commercial,Manufacturing,159
COMP-110,Synapse Industries,Mid-Market,Technology,1194
COMP-111,Cascade Dynamics,Commercial,Healthcare,123
COMP-112,Pavilion Corp,Commercial,Technology,156
COMP-113,Verdant Cloud,Mid-Market,Finance,255
COMP-114,Mercury Corp,Commercial,Technology,66
COMP-115,Marble Inc,Mid-Market,Education,891
COMP-116,Sapphire Platforms,Mid-Market,Energy,367
COMP-117,Cobalt Sciences,Enterprise,Manufacturing,24935
COMP-118,Helix Technologies,Commercial,Manufacturing,83
COMP-119,Cobalt Data,Enterprise,Energy,10272
COMP-120,Vector Cloud,Commercial,Retail,139
COMP-121,Opal Group,Commercial,Healthcare,49
COMP-122,Azure Labs,Mid-Market,Education,838
COMP-123,Verdant Inc,Enterprise,Manufacturing,47260
COMP-124,Lumen Networks,Commercial,Finance,173
COMP-125,Forge Software,Mid-Market,Media,1554
COMP-126,Helix Partners,Commercial,Education,23
COMP-127,Synapse Labs,Mid-Market,Energy,941
COMP-128,Vanguard Platforms,Enterprise,Retail,36193
COMP-129,Compass Global,Mid-Market,Retail,1891
COMP-130,Marble Industries,Commercial,Retail,42
COMP-131,Catalyst Industries,Commercial,Education,165
COMP-132,Phoenix Systems,Mid-Market,Healthcare,865
COMP-133,Synapse Inc,Mid-Market,Media,729
COMP-134,Sapphire Data,Commercial,Technology,90
COMP-135,Axiom Inc,Enterprise,Education,49190
COMP-136,Synapse Sciences,Commercial,Energy,196
COMP-137,Synapse Ventures,Commercial,Retail,43
COMP-138,Drake Digital,Commercial,Media,98
COMP-139,Lattice Sciences,Mid-Market,Media,1071
COMP-140,Coral Ventures,Mid-Market,Manufacturing,714
COMP-141,Nexus Inc,Mid-Market,Healthcare,1721
COMP-142,Ridge Inc,Commercial,Retail,90
COMP-143,Cipher Inc,Mid-Market,Healthcare,939
COMP-144,Crimson Systems,Commercial,Retail,52
COMP-145,Forge Technologies,Mid-Market,Healthcare,1628
COMP-146,Zenith Cloud,Mid-Market,Energy,1180
COMP-147,Phoenix Group,Commercial,Energy,84
COMP-148,Indigo Global,Enterprise,Technology,43251
COMP-149,Vanguard Corp,Commercial,Finance,97
COMP-150,Paragon Platforms,Commercial,Manufacturing,178
